Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
genblk1[4].genblk1.i_stopwatch1.u_reg.dout_$_SDFFE_PP0P__Q_1,1.25,1.858e-06,0.000e+00,1.353e-07,1.993e-06
_1438_,1.25,1.903e-06,0.000e+00,8.599e-08,1.989e-06
genblk1[4].genblk1.i_stopwatch1.u_reg.dout_$_SDFFE_PP0P__Q,1.25,1.845e-06,0.000e+00,1.351e-07,1.980e-06
_1006_,1.25,1.846e-06,0.000e+00,1.259e-07,1.972e-06
_1052_,1.25,1.846e-06,0.000e+00,1.260e-07,1.972e-06
u_counter_sec_low.u_reg.dout_$_SDFFE_PP0P__Q,1.25,1.809e-06,0.000e+00,1.363e-07,1.945e-06
_1034_,1.25,1.817e-06,0.000e+00,1.262e-07,1.943e-06
_1022_,1.25,1.813e-06,0.000e+00,1.262e-07,1.939e-06
u_counter_hour_low.u_reg.dout_$_SDFFE_PP0P__Q,1.25,1.799e-06,0.000e+00,1.363e-07,1.936e-06
u_counter_min_low.u_reg.dout_$_SDFFE_PP0P__Q,1.25,1.799e-06,0.000e+00,1.363e-07,1.936e-06
u_counter_sec_low.u_reg.dout_$_SDFFE_PP0P__Q_1,1.25,1.777e-06,0.000e+00,1.366e-07,1.914e-06
_0973_,1.25,1.814e-06,0.000e+00,9.383e-08,1.908e-06
u_counter_min_low.u_reg.dout_$_SDFFE_PP0P__Q_1,1.25,1.767e-06,0.000e+00,1.366e-07,1.904e-06
_1027_,1.25,1.754e-06,0.000e+00,1.392e-07,1.893e-06
u_counter_hour_low.u_reg.dout_$_SDFFE_PP0P__Q_2,1.25,1.756e-06,0.000e+00,1.367e-07,1.893e-06
u_counter_min_low.u_reg.dout_$_SDFFE_PP0P__Q_2,1.25,1.756e-06,0.000e+00,1.367e-07,1.892e-06
_1506_,1.25,1.798e-06,0.000e+00,9.306e-08,1.891e-06
_1005_,1.25,1.807e-06,0.000e+00,8.188e-08,1.889e-06
_1179_,1.25,1.570e-06,0.000e+00,3.182e-07,1.888e-06
_1051_,1.25,1.792e-06,0.000e+00,8.188e-08,1.874e-06
_1033_,1.25,1.791e-06,0.000e+00,8.188e-08,1.873e-06
_0881_,1.25,1.626e-06,0.000e+00,1.445e-07,1.770e-06
_0971_,1.25,1.663e-06,0.000e+00,9.383e-08,1.757e-06
_0849_,1.25,1.606e-06,0.000e+00,1.445e-07,1.750e-06
